GAME_DATE_EST,HOME_TEAM_NAME,VISITOR_TEAM_NAME,PTS_home,PTS_away,HOME_TEAM_WINS,MARKET_PROB_home,MARKET_PROB_away,prob_margin,correct,league,accepted,STATUS
2026-05-08,Xac Broncos,New Taipei Kings,,,,0.879908,0.120092,0.379908,,asia_asia_champions_league,1,not_started
2026-05-09,Salon Vilpas,Kataja,,,,0.670673,0.329327,0.170673,,finland_korisliiga,1,not_started
2026-01-29,Ammerud W,Baerum W,,,,0.419355,0.580645,0.080645,,norway_blno_women,1,not_started
2026-04-26,HBA-Marsky Helsinki W,PeKa W,,,,0.454054,0.545946,0.045946,,finland_korisliiga_women,1,not_started
2026-06-19,Aguada Santeros,Gigantes de Carolina,,,,0.577128,0.422872,0.077128,,Puerto Rico Bsn,1,not_started
2026-06-20,Leones De Ponce,Mets de Guaynabo,,,,0.625641,0.374359,0.125641,,Puerto Rico Bsn,1,not_started
2026-05-09,BAL Weert,Leuven Bears,,,,0.150628,0.849372,0.349372,,europe_bnxt_league,1,not_started
2026-05-09,Costa Masnaga W,Valdarno W,,,,0.608924,0.391076,0.108924,,italy_serie_a2_women_gr_b,1,not_started
2026-06-19,Maringa W,Sampaio W,,,,0.072464,0.927536,0.427536,,Brazil Lbf Women,1,not_started
2026-06-19,Sao Jose W,SESI Araraquara W,,,,0.292517,0.707483,0.207483,,Brazil Lbf Women,1,not_started
2026-06-20,Santo Andre W,Cerrado W,,,,0.267974,0.732026,0.232026,,Brazil Lbf Women,1,not_started
2026-06-18,Hapoel Tel Aviv,Maccabi Tel Aviv,,,,0.521505,0.478495,0.021505,,Israel Super League,1,not_started
2026-04-30,Duches Klosterneuburg W,UBI Graz W,,,,0.803787,0.196213,0.303787,,austria_superliga_women,1,not_started
2026-06-20,Sturt Sabres W,Woodville Warriors W,,,,0.826087,0.173913,0.326087,,Australia Nbl1 Central Women,1,not_started
2026-06-20,Eastern Mavericks W,Central Districts Lions W,,,,0.229249,0.770751,0.270751,,Australia Nbl1 Central Women,1,not_started
2026-06-20,Southern Tigers W,North Adelaide Rockets W,,,,0.685851,0.314149,0.185851,,Australia Nbl1 Central Women,1,not_started
2026-04-29,TFT Skopje,Siroki Brijeg,,,,0.476839,0.523161,0.023161,,europe_aba_league_2,1,not_started
2026-05-09,Guangdong,Beijing,,,,0.469169,0.530831,0.030831,,china_cba,1,not_started
2026-06-20,Penarol,Aguada,,,,0.64,0.36,0.14,,Uruguay Liga Uruguaya,1,not_started
2026-05-09,Wagram,Mistelbach,,,,0.393229,0.606771,0.106771,,austria_zweite_liga,1,not_started
2026-06-07,Phoenix Hagen,Kirchheim,,,,0.723312,0.276688,0.223312,,germany_pro_a,1,not_started
2026-01-30,Ormanspor W,CBK Mersin W,,,,0.100295,0.899705,0.399705,,turkey_kbsl_women,1,not_started
2026-06-07,Franca,Pinheiros,,,,0.711752,0.288248,0.211752,,brazil_nbb,1,not_started
2026-05-08,Turan,Almaty,,,,0.109948,0.890052,0.390052,,kazakhstan_national_league,1,not_started
2026-06-14,Leones Quilpue,Espanol Osorno,,,,0.616967,0.383033,0.116967,,chile_lnb,1,not_started
2026-06-18,Valencia,Barcelona,,,,0.644769,0.355231,0.144769,,Spain Acb,1,not_started
2026-05-08,Fuenlabrada,Estudiantes,,,,0.587467,0.412533,0.087467,,spain_primera_feb,1,not_started
2026-05-09,Keelung Black Kites,Yulon Luxgen Dinos,,,,0.340686,0.659314,0.159314,,taiwan_sbl,1,not_started
2026-06-07,Netherlands 3x3 W,Australia 3x3 W,,,,0.697248,0.302752,0.197248,,world_world_cup_3x3_women,1,not_started
2026-06-07,Azerbaijan 3x3 W,USA 3x3 W,,,,0.291855,0.708145,0.208145,,world_world_cup_3x3_women,1,not_started
2026-06-21,Gimnasia,Quimsa,,,,0.590551,0.409449,0.090551,,Argentina Liga A,1,not_started
2026-05-09,Chiba,Gunma,,,,0.604113,0.395887,0.104113,,japan_b_league,1,not_started
2026-05-09,Utsunomiya Brex,Diamond Dolphins,,,,0.688222,0.311778,0.188222,,japan_b_league,1,not_started
2026-05-09,SeaHorses Mikawa,Ryukyu,,,,0.41039,0.58961,0.08961,,japan_b_league,1,not_started
2026-05-08,TSU,Orbi,,,,0.699317,0.300683,0.199317,,georgia_superleague,1,not_started
2026-06-11,Maccabi Ashdod,Ironi Nahariya,,,,0.52381,0.47619,0.02381,,israel_liga_leumit,1,not_started
2026-06-20,Penrith P.,Maitland M.,,,,0.117045,0.882955,0.382955,,Australia Nbl1 East,1,not_started
2026-06-20,Hornsby S.,Hills Hornets,,,,0.538674,0.461326,0.038674,,Australia Nbl1 East,1,not_started
2026-06-20,Albury-Wodonga Bandits,Newcastle Falcons,,,,0.317308,0.682692,0.182692,,Australia Nbl1 East,1,not_started
2026-06-20,Metros de Santiago,Gigantes San Francisco,,,,0.559783,0.440217,0.059783,,Dominican Republic Lnb,1,not_started
2026-06-20,Heroes de Moca,Reales de la Vega,,,,0.586207,0.413793,0.086207,,Dominican Republic Lnb,1,not_started
2026-06-20,Titanes Del Licey,Caneros,,,,0.63198,0.36802,0.13198,,Dominican Republic Lnb,1,not_started
2026-05-03,Peja,Trepca,,,,0.403183,0.596817,0.096817,,kosovo_superliga,1,not_started
2026-06-14,Al-Riyadi,Beirut Club,,,,0.905505,0.094495,0.405505,,lebanon_division_1,1,not_started
2026-06-20,Hornsby S. W,Hills Hornets W,,,,0.739785,0.260215,0.239785,,Australia Nbl1 East Women,1,not_started
2026-06-20,Albury W,Newcastle Falcons W,,,,0.383812,0.616188,0.116188,,Australia Nbl1 East Women,1,not_started
2026-04-26,Schio W,Venezia W,,,,0.711111,0.288889,0.211111,,italy_serie_a1_women,1,not_started
2026-04-25,Shanxi Xing Rui W,Sichuan W,,,,0.635236,0.364764,0.135236,,china_wcba_women,1,not_started
2026-05-03,Aritma Prague W,Sokol Pecky W,,,,0.247444,0.752556,0.252556,,czech_republic_1_liga_women,1,not_started
2026-05-03,BK Havirov W,Zabiny Brno B W,,,,0.714286,0.285714,0.214286,,czech_republic_1_liga_women,1,not_started
2026-06-12,Zenit Petersburg,Lokomotiv Kuban,,,,0.617722,0.382278,0.117722,,russia_vtb_united_league,1,not_started
2026-05-10,Zaragoza W,Perfumerias Avenida W,,,,0.813758,0.186242,0.313758,,spain_liga_femenina_women,1,not_started
2026-05-08,Tal Tech,BC Kalev/Cramo,,,,0.358209,0.641791,0.141791,,estonia_korvpalli_meistriliiga,1,not_started
2026-05-09,Tartu Ulikool,Parnu,,,,0.777989,0.222011,0.277989,,estonia_korvpalli_meistriliiga,1,not_started
2026-05-08,VEF Riga,Rigas Zelli,,,,0.585302,0.414698,0.085302,,latvia_lbl,1,not_started
2026-06-19,Dep. San Jose,Felix Perez Cardozo,,,,0.662562,0.337438,0.162562,,Paraguay Lnb,1,not_started
2026-06-19,Olimpia Kings,Colonias Gold,,,,0.769231,0.230769,0.269231,,Paraguay Lnb,1,not_started
2026-06-15,Nymburk,Pardubice,,,,0.748454,0.251546,0.248454,,czech_republic_nbl,1,not_started
2026-06-19,Canterbury Rams,Tauranga Whai,,,,0.797178,0.202822,0.297178,,New Zealand Nbl,1,not_started
2026-06-20,Auckland Tuatara,Bay Hawks,,,,0.831029,0.168971,0.331029,,New Zealand Nbl,1,not_started
2026-06-20,Otago Nuggets,Taranaki Airs,,,,0.576,0.424,0.076,,New Zealand Nbl,1,not_started
2026-05-03,Ub 3x3,Toronto 3x3,,,,0.802065,0.197935,0.302065,,world_world_tour_chengdu_3x3,1,not_started
2026-05-03,Antwerp TOPdesk 3x3,Ulaanbaatar 3x3,,,,0.617949,0.382051,0.117949,,world_world_tour_chengdu_3x3,1,not_started
2026-05-03,Miami 3x3,Skyliners 3x3,,,,0.572559,0.427441,0.072559,,world_world_tour_chengdu_3x3,1,not_started
2026-05-03,Liman 3x3,DeQing 3x3,,,,0.651961,0.348039,0.151961,,world_world_tour_chengdu_3x3,1,not_started
2026-06-12,Partizan Mozzart Bet,Dubai,,,,0.69457,0.30543,0.19457,,europe_admiralbet_aba_league,1,not_started
2026-06-10,Zwolle,Leiden,,,,0.610825,0.389175,0.110825,,netherlands_dbl,1,not_started
2026-05-03,Maktown Flyers,Ville de Dakar,,,,0.365239,0.634761,0.134761,,africa_bal,1,not_started
2026-05-03,FUS Rabat,Al Ahly,,,,0.401575,0.598425,0.098425,,africa_bal,1,not_started
2026-05-08,Nitra Blue Wings,Slovan Bratislava,,,,0.460916,0.539084,0.039084,,slovakia_extraliga,1,not_started
2026-04-26,Municipal Targoviste W,Rapid Bucuresti W,,,,0.282895,0.717105,0.217105,,romania_liga_national_women,1,not_started
2026-06-14,FC Porto,Benfica,,,,0.354839,0.645161,0.145161,,portugal_lpb,1,not_started
2026-04-26,USK Prague W,Zabiny Brno W,,,,0.927273,0.072727,0.427273,,czech_republic_zbl_women,1,not_started
2026-04-26,Ub 3x3,Shanghai 3x3,,,,0.692841,0.307159,0.192841,,world_world_tour_utsunomiya_3x3,1,not_started
2026-04-26,Liman 3x3,Miami 3x3,,,,0.598958,0.401042,0.098958,,world_world_tour_utsunomiya_3x3,1,not_started
2026-04-26,Skyliners 3x3,Raudondvaris 3x3,,,,0.713969,0.286031,0.213969,,world_world_tour_utsunomiya_3x3,1,not_started
2026-04-26,Amsterdam 3x3,Antwerp TOPdesk 3x3,,,,0.634761,0.365239,0.134761,,world_world_tour_utsunomiya_3x3,1,not_started
