Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2024-06-30,Andorra,Malta,84,79,3.04,,1.33,2024
2024-06-30,San Marino,Gibraltar,73,70,1.67,,2.09,2024
2024-06-29,Andorra,San Marino,64,59,1.10,,5.84,2024
2024-06-29,Gibraltar,Malta,79,85,7.94,,1.05,2024
