Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-05-30,Portland Fire W,Atlanta Dream W,66,86,3.88,,1.25,current
2026-05-30,Toronto Tempo W,Seattle Storm W,93,72,1.42,,2.85,current
2026-05-30,Washington Mystics W,Los Angeles Sparks W,87,92,1.69,,2.15,current
2026-05-29,Dallas Wings W,Las Vegas Aces W,95,87,2.66,,1.47,current
2026-05-29,Golden State Valkyries W,Indiana Fever W,90,88,1.74,,2.08,current
2026-05-28,Chicago Sky W,Toronto Tempo W,104,111,1.49,,2.58,current
2026-05-28,Minnesota Lynx W,Atlanta Dream W,96,81,2.22,,1.65,current
2026-05-28,New York Liberty W,Phoenix Mercury W,84,74,1.53,,2.47,current
2026-05-28,Portland Fire W,Connecticut Sun W,71,61,1.35,,3.18,current
2026-05-28,Seattle Storm W,Washington Mystics W,64,78,2.34,,1.59,current
2026-05-26,Golden State Valkyries W,Connecticut Sun W,97,70,1.10,,6.63,current
2026-05-26,New York Liberty W,Portland Fire W,74,81,1.19,,4.62,current
2026-05-25,Seattle Storm W,Washington Mystics W,97,85,2.57,,1.50,current
2026-05-24,Atlanta Dream W,Phoenix Mercury W,82,80,1.43,,2.81,current
2026-05-24,Las Vegas Aces W,Los Angeles Sparks W,95,101,1.23,,4.12,current
2026-05-24,New York Liberty W,Dallas Wings W,76,91,1.39,,2.94,current
2026-05-24,Toronto Tempo W,Portland Fire W,80,99,1.48,,2.66,current
2026-05-23,Atlanta Dream W,Dallas Wings W,86,69,1.44,,2.76,current
2026-05-23,Chicago Sky W,Minnesota Lynx W,75,85,2.03,,1.79,current
2026-05-23,Indiana Fever W,Golden State Valkyries W,90,82,1.45,,2.73,current
2026-05-23,Seattle Storm W,Connecticut Sun W,77,59,1.74,,2.08,current
2026-05-22,Minnesota Lynx W,Toronto Tempo W,100,72,1.42,,2.86,current
2026-05-22,New York Liberty W,Golden State Valkyries W,70,87,1.39,,2.97,current
2026-05-22,Phoenix Mercury W,Los Angeles Sparks W,88,97,1.69,,2.15,current
2026-05-21,Chicago Sky W,Dallas Wings W,89,99,2.23,,1.65,current
2026-05-21,Indiana Fever W,Portland Fire W,90,73,1.20,,4.48,current
2026-05-21,Seattle Storm W,Connecticut Sun W,78,80,1.71,,2.14,current
2026-05-20,Phoenix Mercury W,Toronto Tempo W,90,98,1.29,,3.58,current
2026-05-19,Dallas Wings W,Washington Mystics W,92,69,1.53,,2.48,current
2026-05-19,Portland Fire W,Connecticut Sun W,83,82,1.56,,2.40,current
2026-05-18,Indiana Fever W,Seattle Storm W,89,78,1.14,,5.45,current
2026-05-18,Los Angeles Sparks W,Toronto Tempo W,96,106,1.29,,3.54,current
2026-05-18,Minnesota Lynx W,Chicago Sky W,79,86,1.40,,2.91,current
2026-05-17,Atlanta Dream W,Las Vegas Aces W,84,85,2.34,,1.59,current
2026-05-16,Connecticut Sun W,Las Vegas Aces W,94,101,8.23,,1.07,current
2026-05-16,Los Angeles Sparks W,Toronto Tempo W,99,95,1.29,,3.59,current
2026-05-16,Phoenix Mercury W,Chicago Sky W,91,83,1.52,,2.49,current
2026-05-15,Dallas Wings W,Minnesota Lynx W,86,90,1.58,,2.37,current
2026-05-15,Portland Fire W,New York Liberty W,82,100,5.37,,1.15,current
2026-05-14,Connecticut Sun W,Las Vegas Aces W,69,98,7.68,,1.08,current
2026-05-14,Golden State Valkyries W,Chicago Sky W,63,69,1.39,,2.95,current
2026-05-14,Los Angeles Sparks W,Indiana Fever W,78,87,1.91,,1.89,current
2026-05-14,Toronto Tempo W,Seattle Storm W,86,73,1.64,,2.23,current
2026-05-13,Dallas Wings W,Atlanta Dream W,72,77,2.01,,1.79,current
2026-05-13,Phoenix Mercury W,Minnesota Lynx W,84,88,1.47,,2.67,current
2026-05-13,Portland Fire W,New York Liberty W,98,96,6.20,,1.12,current
2026-05-11,Golden State Valkyries W,Phoenix Mercury W,95,79,1.70,,2.14,current
2026-05-11,Los Angeles Sparks W,Las Vegas Aces W,78,105,2.03,,1.78,current
2026-05-10,Connecticut Sun W,Seattle Storm W,82,89,1.77,,2.03,current
2026-05-10,Minnesota Lynx W,Atlanta Dream W,90,91,2.77,,1.44,current
2026-05-10,Portland Fire W,Chicago Sky W,83,98,2.74,,1.45,current
2026-05-09,Indiana Fever W,Dallas Wings W,104,107,1.40,,2.89,current
2026-05-09,Las Vegas Aces W,Phoenix Mercury W,66,99,1.21,,4.27,current
2026-05-09,New York Liberty W,Connecticut Sun W,106,75,1.16,,5.20,current
2026-05-09,Seattle Storm W,Golden State Valkyries W,80,91,2.89,,1.41,current
2026-05-09,Toronto Tempo W,Washington Mystics W,65,68,1.81,,1.98,current
