Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-04-25,Perth Redbacks,Goldfields Giants,104,110,1.42,,2.64,current
2026-04-25,Warwick Senators,Joondalup Wolves,103,89,2.74,,1.40,current
2026-04-24,Lakeside Lightning,Kalamunda Eastern Suns,76,90,2.56,,1.45,current
2026-04-24,Rockingham Flames,Mandurah Magic,119,95,1.02,,10.23,current
2026-04-24,Willetton Tigers,South West Slammers,115,96,1.02,,10.00,current
2026-04-19,Mandurah Magic,Geraldton Buccaneers,68,78,5.69,,1.10,current
2026-04-18,Goldfields Giants,Rockingham Flames,67,112,5.72,,1.10,current
2026-04-18,Perry Lakes Hawks,Lakeside Lightning,95,77,2.09,,1.67,current
2026-04-18,South West Slammers,Geraldton Buccaneers,83,87,12.09,,1.01,current
2026-04-18,Willetton Tigers,Mandurah Magic,97,96,1.07,,6.70,current
2026-04-17,Joondalup Wolves,East Perth Eagles,86,94,1.43,,2.61,current
2026-04-17,Kalamunda Eastern Suns,South West Slammers,91,76,1.07,,6.78,current
2026-04-17,Lakeside Lightning,Beeliar Boodjar,73,72,2.06,,1.69,current
2026-04-17,Perth Redbacks,Warwick Senators,93,76,3.24,,1.30,current
2026-04-11,Geraldton Buccaneers,Perry Lakes Hawks,101,91,1.03,,8.66,current
2026-04-11,Goldfields Giants,Lakeside Lightning,82,73,2.33,,1.55,current
2026-04-11,Joondalup Wolves,Beeliar Boodjar,102,80,1.10,,5.73,current
2026-04-11,Mandurah Magic,Kalamunda Eastern Suns,76,99,3.08,,1.32,current
2026-04-10,South West Slammers,Rockingham Flames,81,116,14.96,,1.01,current
2026-04-10,Warwick Senators,East Perth Eagles,75,94,2.89,,1.44,current
2026-04-04,East Perth Eagles,Mandurah Magic,113,98,1.18,,3.69,current
2026-04-04,Rockingham Flames,Lakeside Lightning,93,95,1.11,,5.97,current
2026-04-02,Beeliar Boodjar,Willetton Tigers,82,91,2.26,,1.57,current
2026-04-02,Kalamunda Eastern Suns,Warwick Senators,98,92,2.74,,1.41,current
2026-04-02,Perry Lakes Hawks,Joondalup Wolves,78,106,5.52,,1.11,current
2026-04-02,South West Slammers,Perth Redbacks,77,89,1.89,,1.83,current
2026-03-28,Goldfields Giants,South West Slammers,74,78,1.06,,7.29,current
2026-03-28,Lakeside Lightning,Joondalup Wolves,82,109,3.30,,1.32,current
2026-03-28,Willetton Tigers,East Perth Eagles,96,82,1.37,,2.84,current
2026-03-27,Kalamunda Eastern Suns,Lakeside Lightning,92,87,1.64,,2.14,current
2026-03-27,Mandurah Magic,Rockingham Flames,87,101,3.50,,1.27,current
2026-03-27,Perth Redbacks,Beeliar Boodjar,84,106,2.44,,1.50,current
2026-03-26,Warwick Senators,Perry Lakes Hawks,92,82,1.23,,3.77,current
