Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-24,Italy,Croatia,103,91,2.96,,1.35,current
2026-06-23,China,Netherlands,65,60,1.08,,6.53,current
2026-06-22,Australia,Netherlands,78,69,1.49,,2.49,current
2026-06-21,Bulgaria,North Macedonia,97,68,1.08,,6.43,current
