Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-04-17,Kalamunda Eastern Suns W,South West Slammers W,102,81,1.83,,1.92,current
2026-04-17,Lakeside Lightning W,Cockburn Cougars W,85,97,13.68,,1.01,current
2026-04-17,Perth Redbacks W,Warwick Senators W,62,80,8.03,,1.05,current
2026-04-11,Joondalup Wolves W,Cockburn Cougars W,73,92,5.18,,1.15,current
2026-04-11,Mandurah Magic W,Kalamunda Eastern Suns W,82,64,1.01,,14.36,current
2026-04-10,Perth Redbacks W,Willetton Tigers W,113,102,1.29,,3.42,current
2026-04-10,South West Slammers W,Rockingham Flames W,64,90,14.49,,1.00,current
2026-04-10,Warwick Senators W,East Perth Eagles W,80,85,2.10,,1.65,current
2026-04-04,East Perth Eagles W,Mandurah Magic W,111,80,1.38,,2.81,current
2026-04-04,Rockingham Flames W,Lakeside Lightning W,107,79,1.13,,5.00,current
2026-04-02,Cockburn Cougars W,Willetton Tigers W,96,76,1.00,,16.96,current
2026-04-02,Kalamunda Eastern Suns W,Warwick Senators W,68,92,13.76,,1.01,current
2026-04-02,Perry Lakes Hawks W,Joondalup Wolves W,88,62,3.44,,1.26,current
2026-04-02,South West Slammers W,Perth Redbacks W,82,74,8.32,,1.07,current
2026-03-28,Goldfields Giants W,South West Slammers W,90,79,1.07,,7.33,current
2026-03-28,Lakeside Lightning W,Joondalup Wolves W,85,74,2.03,,1.73,current
2026-03-28,Willetton Tigers W,East Perth Eagles W,70,86,6.37,,1.05,current
2026-03-27,Kalamunda Eastern Suns W,Lakeside Lightning W,63,90,5.63,,1.12,current
2026-03-27,Mandurah Magic W,Rockingham Flames W,97,77,4.15,,1.20,current
2026-03-27,Perth Redbacks W,Cockburn Cougars W,71,98,10.17,,1.02,current
2026-03-26,Warwick Senators W,Perry Lakes Hawks W,80,67,1.03,,9.60,current
